150 8649
95 99 1
17 1 4
128 125 6
83 75 1
134 106 8
51 21 1
53 63 7
147 27 7
86 19 1
3 135 9
22 46 2
135 103 6
40 134 6
43 142 4
5 130 7
93 126 1
132 8 8
109 119 2
45 15 3
96 4 4
147 142 1
72 62 1
106 90 3
118 35 9
24 55 3
16 111 5
130 28 5
9 125 3
83 33 6
26 86 4
128 96 3
129 14 6
21 29 6
58 139 4
131 103 8
100 80 7
27 45 1
40 56 3
139 103 6
83 99 6
82 75 4
67 70 1
28 103 8
122 24 6
117 31 3
105 31 9
44 137 6
2 115 7
16 139 8
90 128 4
8 3 9
39 37 4
22 54 1
11 73 9
97 20 9
52 110 6
70 52 4
10 48 3
94 83 8
49 107 9
74 34 3
45 56 2
117 65 4
73 107 9
25 44 3
69 133 9
70 17 8
113 91 1
14 48 9
144 142 8
117 86 8
144 110 3
139 96 5
60 95 1
52 147 4
27 57 8
61 88 8
25 16 3
49 52 9
42 64 8
91 106 4
127 84 5
35 12 1
16 82 7
52 41 1
135 18 7
30 92 2
19 109 1
73 12 2
3 126 5
142 27 2
1 97 4
128 87 1
79 106 2
93 22 1
31 73 8
99 97 2
2 63 7
67 131 3
48 143 8
105 126 7
91 73 8
25 83 9
55 77 3
121 8 7
98 22 8
120 105 5
40 144 4
115 72 3
108 33 1
143 115 3
8 114 3
47 52 3
74 13 2
53 75 1
52 105 3
82 29 5
128 64 4
128 59 9
125 78 4
1 135 3
57 88 4
51 29 6
107 97 5
18 146 1
20 27 5
41 115 2
39 43 2
53 41 2
78 134 6
45 120 4
6 13 7
14 121 7
111 13 9
122 84 1
144 27 7
83 134 8
144 72 9
29 41 6
18 129 5
135 105 5
142 47 9
98 86 7
42 120 4
127 136 9
14 144 8
102 113 9
13 11 4
103 110 8
16 133 6
26 29 2
66 46 6
56 18 2
46 52 4
124 58 5
121 104 7
91 87 8
141 51 6
27 149 6
144 122 8
5 117 9
81 31 4
2 59 8
46 34 4
71 149 1
102 130 4
77 49 6
141 74 4
83 123 5
85 24 6
90 94 4
94 102 6
38 119 4
100 58 8
19 66 1
143 32 7
55 96 8
65 74 1
46 63 6
135 149 4
50 6 3
66 3 7
146 65 8
78 67 5
74 124 4
14 32 3
75 115 3
47 92 4
60 34 6
117 57 3
10 126 1
131 50 9
78 73 5
104 132 7
61 118 1
65 137 5
149 83 6
126 100 4
128 86 6
2 37 6
124 83 6
113 50 9
118 19 3
36 143 1
88 6 7
66 6 4
22 4 8
146 35 1
24 19 4
113 92 4
86 64 9
103 127 8
3 131 4
14 3 9
40 106 5
129 58 3
15 144 6
60 85 6
84 109 5
43 8 5
75 145 2
145 38 4
126 147 6
24 142 9
132 112 9
22 53 8
45 139 2
64 115 1
139 113 8
111 25 4
76 100 1
60 49 6
4 86 1
10 61 7
23 69 2
13 39 5
118 5 5
75 80 8
106 72 5
14 126 9
3 117 9
85 94 2
29 35 5
70 18 8
8 45 8
74 10 5
29 3 2
46 110 1
32 40 3
138 140 5
10 59 7
137 28 8
140 15 2
73 8 5
31 55 8
109 45 4
101 141 9
141 122 2
10 53 3
39 140 2
19 34 3
105 104 5
147 114 4
42 85 2
148 125 6
108 75 1
132 10 7
109 110 3
36 108 8
100 2 3
144 80 7
35 127 7
39 55 7
143 88 9
96 111 8
33 67 1
146 138 7
34 82 3
60 105 9
59 61 3
115 28 4
24 94 7
80 148 7
13 144 9
23 27 9
143 76 5
34 78 1
85 144 6
1 56 6
51 122 4
67 10 2
61 80 2
24 103 3
19 144 9
88 55 3
76 40 9
122 125 5
81 62 9
28 81 5
101 90 8
88 41 5
52 121 7
26 103 1
104 110 2
11 63 8
23 145 1
148 67 3
136 121 5
91 93 7
22 44 3
76 88 8
12 112 9
63 43 1
102 125 3
60 120 4
13 23 4
112 131 3
115 91 9
72 67 1
43 17 9
74 133 2
70 71 1
56 123 7
65 16 8
104 35 2
105 34 2
123 48 1
29 48 8
25 114 1
145 3 4
55 125 1
84 11 2
0 110 2
81 104 6
141 75 7
45 65 2
73 57 2
55 35 1
56 36 5
36 142 2
137 52 5
49 47 8
80 147 8
40 130 3
53 12 4
4 128 7
69 114 1
131 106 7
124 111 7
4 79 3
70 63 7
104 76 8
54 83 2
85 136 7
83 12 4
147 110 4
3 46 7
140 63 4
100 128 7
10 2 5
9 102 6
123 21 9
0 103 8
45 86 7
55 49 8
92 109 2
58 109 8
6 3 3
8 108 6
145 116 8
7 2 1
65 124 1
135 27 2
54 126 4
83 131 9
3 40 3
76 23 7
104 8 8
143 7 9
17 134 3
117 112 7
119 8 4
64 53 5
142 92 3
47 89 5
46 86 2
34 26 9
36 9 7
17 149 4
142 143 6
12 41 1
132 134 1
100 47 4
138 121 4
99 1 6
37 90 1
21 111 9
120 145 2
80 108 9
98 146 4
110 68 6
81 23 2
23 7 9
19 84 7
149 105 9
90 73 9
51 26 4
132 105 3
36 82 3
78 43 3
65 118 3
149 119 2
63 85 7
145 22 9
90 64 9
106 128 2
4 146 8
143 137 2
82 84 3
40 136 4
131 125 1
12 148 6
71 13 4
148 27 7
96 40 5
65 77 3
137 24 4
146 52 3
86 75 2
134 5 9
91 57 9
118 100 8
11 88 9
5 92 7
26 99 5
109 137 5
25 47 6
57 65 2
61 23 8
136 74 3
89 78 4
63 50 6
116 111 7
35 45 6
80 21 7
131 134 1
135 19 5
78 29 2
84 138 4
24 138 3
55 141 9
90 109 6
98 100 2
58 88 6
59 45 8
19 62 8
90 53 5
24 134 2
62 113 7
71 111 4
63 18 8
27 17 6
6 59 2
13 79 9
64 18 2
79 97 9
145 138 9
51 110 2
52 9 2
74 106 5
43 44 3
41 112 1
91 63 3
108 79 6
110 99 7
70 26 4
62 30 3
136 87 5
89 120 5
16 19 1
35 87 8
7 132 9
103 129 8
50 91 4
61 134 7
64 92 4
4 115 4
39 112 1
44 116 8
60 94 9
134 0 5
61 143 9
25 6 8
8 68 5
107 98 4
8 142 3
108 129 2
44 28 7
95 13 1
27 54 2
8 9 2
110 20 7
66 27 1
63 51 2
57 12 1
53 27 4
102 75 9
59 42 1
53 13 6
23 122 5
59 123 8
72 69 1
112 52 8
104 46 3
79 41 2
90 25 6
129 143 2
99 70 3
73 121 1
147 58 5
66 99 7
46 59 2
28 70 1
13 43 7
83 59 4
105 100 2
69 5 6
41 133 8
52 85 7
88 54 1
31 58 6
109 7 9
129 71 4
79 56 7
28 94 8
135 80 6
138 65 2
96 138 3
70 88 2
48 140 2
76 77 4
61 18 1
53 77 5
116 94 5
88 95 9
100 138 2
106 146 7
44 133 3
39 134 2
44 80 9
55 144 9
11 8 6
1 84 5
78 74 5
27 122 4
122 16 6
119 93 5
43 122 1
75 142 7
130 91 2
103 96 4
134 89 6
53 72 9
51 42 6
105 59 2
83 10 8
78 52 8
94 99 8
43 128 5
128 134 7
18 93 6
35 75 5
22 11 4
96 101 8
129 92 4
27 56 3
65 140 7
9 59 9
72 131 1
100 121 8
22 75 3
4 10 1
67 102 4
71 12 8
93 70 7
70 104 6
142 117 9
146 28 1
78 22 3
74 105 4
116 18 6
78 63 8
11 64 4
106 82 5
105 85 6
77 135 9
122 62 8
4 39 7
95 111 7
94 142 1
87 50 4
78 53 7
145 140 4
145 98 5
54 69 9
103 53 2
95 149 2
109 43 8
0 93 4
112 103 7
100 85 8
112 60 5
58 84 2
124 81 8
50 147 6
23 142 1
27 121 6
40 112 9
48 67 3
134 70 4
144 102 7
107 118 6
129 12 7
102 76 3
107 35 9
49 67 6
31 130 2
106 94 7
27 98 1
147 10 2
123 37 2
62 103 9
136 58 1
127 68 8
1 131 6
61 16 3
3 95 3
96 12 2
143 147 3
97 142 8
58 27 8
84 54 8
105 88 1
146 46 9
64 5 7
77 7 6
127 32 1
135 37 1
65 26 6
72 9 6
39 28 5
44 129 1
58 40 7
47 26 7
79 126 7
21 68 2
137 141 3
20 103 2
122 121 4
57 46 4
0 108 9
98 58 8
64 133 9
28 10 6
102 18 7
39 135 8
121 66 5
53 67 9
43 139 8
6 145 8
27 80 2
29 30 8
48 117 5
39 142 2
109 123 4
8 135 2
139 85 1
49 104 5
15 105 8
32 48 6
55 36 1
47 114 1
21 93 8
105 75 2
14 23 1
3 51 2
3 25 5
127 100 7
89 98 8
107 96 2
69 144 4
88 45 7
81 14 1
14 42 6
28 11 7
63 99 5
131 138 9
33 89 8
22 102 8
14 73 5
13 128 2
64 38 6
107 102 3
74 29 5
55 8 1
126 69 5
146 116 8
45 28 8
10 72 7
0 107 8
125 52 5
46 120 5
35 84 2
54 70 1
62 149 7
54 130 1
10 11 8
5 40 3
7 37 5
80 12 4
47 21 1
11 58 6
72 141 4
20 79 8
145 5 3
62 129 9
143 75 6
135 32 6
62 65 9
50 111 6
146 7 5
64 97 4
99 11 6
8 110 5
78 110 3
101 31 9
96 99 7
59 149 8
79 96 5
125 40 6
80 3 5
64 118 1
54 114 1
100 73 3
29 32 6
84 106 6
19 71 6
121 139 4
103 3 3
103 101 2
102 91 1
25 33 9
145 60 6
3 56 9
125 105 8
26 10 6
106 143 5
104 20 9
106 34 7
1 116 1
135 95 4
68 31 5
74 72 5
77 33 7
71 110 3
42 38 3
64 107 7
8 101 4
123 44 1
8 105 1
21 88 4
135 67 4
59 68 8
24 69 9
92 81 7
113 2 1
52 37 5
49 38 5
2 68 9
124 79 2
78 9 2
128 38 1
11 81 7
11 72 3
49 105 8
109 89 3
118 146 9
105 43 2
71 29 3
5 102 7
25 100 9
96 37 7
111 9 7
123 92 8
118 121 6
13 69 7
72 92 5
91 14 2
133 105 8
100 51 8
107 143 7
128 18 5
145 91 2
123 62 1
130 16 7
13 143 2
29 120 3
27 72 2
102 132 9
60 134 9
26 106 7
116 87 5
57 109 7
62 51 3
16 11 9
35 81 6
110 40 5
38 67 5
13 131 8
53 68 7
34 129 4
87 8 6
100 40 1
98 19 2
130 35 6
84 97 3
72 113 4
114 0 2
37 68 5
47 134 3
129 57 7
41 96 6
19 67 2
136 94 1
26 4 2
113 83 5
131 78 5
16 24 5
60 42 4
117 83 5
11 148 3
84 22 4
97 40 1
74 44 6
34 71 2
113 96 3
5 66 3
27 10 4
111 98 4
139 109 6
102 147 9
77 50 8
135 90 3
120 80 7
53 52 8
44 94 8
24 112 6
116 79 2
60 13 6
143 20 3
64 124 7
11 24 9
22 38 5
32 120 9
25 58 5
80 105 3
54 146 1
149 139 6
30 41 2
145 99 9
56 39 8
29 68 1
109 80 7
78 36 3
136 32 9
89 90 6
60 82 8
102 17 1
18 65 7
78 17 9
23 33 1
112 102 2
120 102 2
142 2 9
21 41 3
119 91 4
143 16 2
76 148 4
21 85 9
76 21 8
103 122 9
70 58 3
75 131 4
14 133 7
122 99 2
69 75 1
60 57 9
124 95 7
31 96 9
22 101 9
117 8 3
53 141 9
102 139 8
63 100 1
47 108 9
20 96 2
12 22 3
144 132 4
49 50 8
82 30 7
102 29 8
95 105 3
92 131 1
49 71 1
54 107 5
80 4 8
90 125 8
29 58 7
130 38 2
42 145 9
138 56 9
119 101 7
90 15 7
15 115 2
71 60 8
0 101 2
138 119 2
7 148 5
22 76 2
139 60 2
69 147 1
35 9 2
55 127 7
74 59 7
65 87 1
74 84 5
6 100 1
28 15 5
19 139 1
41 85 2
40 9 6
137 54 5
12 81 2
110 47 3
108 126 3
89 10 6
141 24 6
0 99 6
138 1 9
4 92 5
56 63 3
77 79 8
107 2 4
85 93 5
29 141 3
72 105 2
82 120 4
59 100 1
4 76 8
139 74 9
115 104 9
148 56 2
2 124 4
36 99 7
88 110 3
143 132 9
74 103 4
94 40 5
119 9 6
18 124 3
96 29 5
79 18 4
39 47 4
45 64 9
77 148 5
54 77 4
97 55 2
147 101 5
72 88 6
73 6 4
51 133 7
141 147 7
59 87 5
11 12 3
120 41 9
138 129 8
134 85 7
115 37 6
9 104 8
37 55 7
131 15 4
99 35 4
133 134 9
53 76 6
55 61 8
39 72 8
50 130 3
99 32 3
7 71 2
59 114 1
130 55 5
65 10 4
96 26 2
97 2 7
75 29 3
70 66 5
46 141 8
31 80 1
24 30 9
79 111 2
94 88 9
141 8 7
55 44 1
128 146 8
4 57 8
90 123 9
1 13 8
82 148 3
52 94 2
93 133 8
148 139 9
71 66 9
142 87 3
85 17 3
40 149 4
22 104 1
80 36 5
123 98 6
63 21 2
